id,smiles,pKi
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,5.33
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,5.33
ZINC000000001070,CN(C)CCc1c[nH]c2ccc(O)cc12,6.04
ZINC000000001347,c1cc2c(c(N3CCNCC3)c1)OCCO2,7.27
ZINC000000002020,c1ccc2nc(N3CCNCC3)ccc2c1,6.68
ZINC000000004285,Clc1cccc(N2CCNCC2)c1,8.36
ZINC000000004439,O=c1ccc2[nH]cc(C3=CCNCC3)c2[nH]1,7.82
ZINC000000004448,Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,5.43
ZINC000000005452,COc1ccc2[nH]cc(C[C@@H]3CCCN3C)c2c1,5.24
ZINC000000005933,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,8.89
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,6.96
ZINC000000012687,COc1ccccc1N1CCNCC1,7.76
ZINC000000015872,Clc1ccccc1N1CCNCC1,7.93
ZINC000000016050,c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2,5.75
ZINC000000017124,c1cc2c(N3CCNCC3)nc3ccsc3n2c1,7.86
ZINC000000018073,c1cc2[nH]cc(CCN3CCC3)c2cc1-n1cnnc1,8.36
ZINC000000018074,c1cc2[nH]cc(CCN3CCCC3)c2cc1-n1cnnc1,7.55
ZINC000000019264,c1cnc2c(c1)nc(N1CCNCC1)c1cccn12,6.82
ZINC000000019265,CN1CCN(c2nc3cccnc3n3cccc23)CC1,6.61
ZINC000000020240,CC(C)NC[C@@H](O)COc1cccc2ccccc12,7.3
ZINC000000044027,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.74
ZINC000000056464,FC(F)(F)c1cccc(N2CCNCC2)c1,8.65
ZINC000000056645,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,7.1
ZINC000000056646,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,7.1
ZINC000000057152,COc1ccc2[nH]cc(CCN(C)C)c2c1,7.05
ZINC000000066076,Cc1ccccc1N1CCNCC1,7.35
ZINC000000075126,Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,5.43
ZINC000000120262,CCOc1ccccc1N1CCNCC1,7.86
ZINC000000120271,c1ccc(N2CCNCC2)cc1,7.2
ZINC000000140722,COc1ccc2[nH]c(C)c(CCN)c2c1,6.1
ZINC000000154399,C1=C(c2c[nH]c3ccccc23)CCNC1,8.43
ZINC000000155125,Fc1ccccc1N1CCNCC1,7.54
ZINC000000157416,Oc1ccccc1N1CCNCC1,7.13
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,7.0
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,7.0
ZINC000000402830,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,6.66
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,6.3
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,6.3
ZINC000000537877,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,5.72
ZINC000000538183,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,5.86
ZINC000000538194,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,5.18
ZINC000000538275,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,6.07
ZINC000000538483,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,6.08
ZINC000000587807,COc1ccc(NC(=O)N2CCC(c3c[nH]c4cc(F)ccc34)CC2)cc1N1CCN(C)CC1,7.1
ZINC000000587810,COc1ccc(NC(=O)N2CCC(c3c[nH]c4cccc(F)c34)CC2)cc1N1CCN(C)CC1,7.3
ZINC000000598510,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4nnc(C)o4)cc3C)cc2)cc1N1CCN(C)CC1,9.03
ZINC000000601274,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,6.2
ZINC000000602165,O=C1CN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CCN1Cc1ccccc1,6.55
ZINC000000602342,CN(Cc1ccccc1)CC1(O)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.02
ZINC000000602478,COc1ccc(NC(=O)N2CCC(c3c[nH]c4ccc(F)cc34)CC2)cc1N1CCN(C)CC1,7.07
ZINC000000603789,NC(=O)c1ccc2c(c1)CCO[C@@H]2CCN1CC=C(c2c[nH]c3cc(F)ccc23)CC1,6.69
ZINC000000604739,O=c1[nH]c2ccc(CCN3CCN(c4cccc(C(F)(F)F)c4)CC3)cc2s1,6.22
ZINC000000604740,COc1ccccc1N1CCN(CCc2ccc3[nH]c(=O)sc3c2)CC1,7.7
ZINC000000607671,O=C1CN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CCN1CCc1ccccc1,7.11
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.03
ZINC000000643153,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.21
ZINC000000643233,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,6.0
ZINC000000836543,COc1ccc(NC(=O)N2CCN(c3ccccc3C)CC2)cc1N1CCN(C)CC1,8.64
ZINC000000836547,COc1ccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)cc1,8.08
ZINC000000836553,COc1ccc(NCC(=O)N2CCN(c3ccccc3C)CC2)cc1N1CCN(C)CC1,7.4
ZINC000000837633,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,9.1
ZINC000000841221,c1cnc(N2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)nc1,9.3
ZINC000000841701,O=c1[nH]c2ccccc2n1C1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.13
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.03
ZINC000000968257,CN(C)CCC=C1c2ccccc2CCc2ccccc21,5.77
ZINC000000968264,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,5.9
ZINC000001485779,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3,8.2
ZINC000001486791,FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.82
ZINC000001486792,Fc1cccc(CCC2(F)CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,7.66
ZINC000001486793,FC1(Cc2ccccc2C(F)(F)F)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.85
ZINC000001486794,FC1(CCc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,7.31
ZINC000001486798,F[C@@H](Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(Cc2ccccc2)CC1,7.21
ZINC000001486819,F[C@@H](Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(OCc2ccccc2)CC1,5.52
ZINC000001487796,COc1ccc(NC(=O)c2ccc(-c3ccc(C(N)=O)cc3C)cc2)cc1N1CCN(C)CC1,8.89
