id,smiles,pKi
ZINC000003812975,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,6.56
ZINC000003815700,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,5.75
ZINC000003824992,COc1cc(N)c(Cl)cc1C(=O)OCCN1C[C@@H](C)C[C@@H](C)C1,9.59
ZINC000003830564,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,7.84
ZINC000003873936,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.61
ZINC000003918087,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,5.68
ZINC000003919860,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(CCCN)CC2)CC1,7.87
ZINC000003928547,Nc1c(Cl)cc(C(=O)O[C@@H]2CN3CCC2CC3)c2c1CCO2,8.08
ZINC000003938704,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,5.88
ZINC000003959350,Cc1[nH]c2ccccc2c1C1=CCNCC1,6.0
ZINC000003974293,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(CCCCN)CC2)CC1,8.19
ZINC000003978005,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,6.8
ZINC000003995616,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,6.09
ZINC000004832953,O=C(Nc1ccccc1)OCCN1CCCCC1,7.5
ZINC000005019451,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCNC[C@@H]1OC,7.72
ZINC000005019457,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@H]1OC,7.72
ZINC000005491121,Nc1c(Cl)cc(C(=O)N[C@H]2CN3CCC2CC3)c2[nH]cnc12,6.73
ZINC000005491124,Nc1c(Cl)cc(C(=O)N[C@@H]2CN3CCC2CC3)c2[nH]cnc12,6.73
ZINC000005491128,O=C(N[C@H]1CN2CCC1CC2)c1cc(Cl)cc2nc[nH]c12,6.77
ZINC000005491129,O=C(N[C@@H]1CN2CCC1CC2)c1cc(Cl)cc2nc[nH]c12,6.77
ZINC000005841446,O=C(Nc1ccc(Cl)cc1)OCCN1CCCCC1,6.14
ZINC000006019279,COc1ccccc1NC(=O)OCCN1CCCCC1,8.05
ZINC000006717467,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccc(N)cc3)CC2)c2ccccc21,9.7
ZINC000006717470,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccc([N+](=O)[O-])cc3)CC2)c2ccccc21,8.9
ZINC000012356281,COc1cc(N)c(Cl)cc1C(=O)NC1C[C@@H]2CC[C@H](C1)N2Cc1ccccc1,6.63
ZINC000013439964,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C[C@@H](O)CN)CC2)CC1,7.84
ZINC000013439966,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C[C@H](O)CN)CC2)CC1,7.84
ZINC000013439970,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(CCCCCN)CC2)CC1,7.95
ZINC000013439973,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C[C@@H](C)CN)CC2)CC1,7.84
ZINC000013439975,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C[C@H](C)CN)CC2)CC1,7.84
ZINC000013439977,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(CCCNS(C)(=O)=O)CC2)CC1,7.68
ZINC000013439979,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CN)CC2)CC1,8.03
ZINC000013439981,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CCN)CC2)CC1,8.02
ZINC000013439983,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CCCN)CC2)CC1,8.4
ZINC000013439985,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(C(=O)C2CCN(C(=O)CCCN)CC2)CC1,6.37
ZINC000013439987,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CCCCN)CC2)CC1,8.41
ZINC000013439989,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)[C@@H](C)N)CC2)CC1,8.3
ZINC000013439991,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)[C@H](C)N)CC2)CC1,8.3
ZINC000013439993,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)[C@@H](C)CN)CC2)CC1,8.29
ZINC000013439995,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)[C@H](C)CN)CC2)CC1,8.29
ZINC000013439997,CCC[C@@H](N)C(=O)N1CCC(CN2CCC(NC(=O)c3cc(Cl)c(N)cc3OC)CC2)CC1,8.59
ZINC000013439999,CCC[C@H](N)C(=O)N1CCC(CN2CCC(NC(=O)c3cc(Cl)c(N)cc3OC)CC2)CC1,8.59
ZINC000013440001,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)[C@@H](N)C(C)C)CC2)CC1,8.6
ZINC000013440003,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)[C@H](N)C(C)C)CC2)CC1,8.6
ZINC000013440005,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)C(C)(C)N)CC2)CC1,8.59
ZINC000013454126,COc1cc(N)c(Cl)cc1C(=O)NC[C@H]1CCN2CCC[C@H]12,6.49
ZINC000013491743,CN1CCC(NC(=O)c2cccc3[nH]cnc23)CC1,6.14
ZINC000013491746,CCCCN1CCC(NC(=O)c2cccc3[nH]cnc23)CC1,6.54
ZINC000013491747,CCCCN1CCC(CNC(=O)c2cccc3[nH]cnc23)CC1,7.86
ZINC000013491748,CS(=O)(=O)NCCN1CCC(CNC(=O)c2cccc3[nH]cnc23)CC1,7.94
ZINC000013491749,CN1CCC(NC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,7.27
ZINC000013491750,CCCCN1CCC(CNC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,9.49
ZINC000013491751,CS(=O)(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,9.96
ZINC000013491752,CC(C)CN1CCC(CNC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,9.54
ZINC000013491753,CCCCCN1CCC(CNC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,9.27
ZINC000013491754,CC(C)CN1CCC(CNC(=O)c2cc(Cl)cc3c2ncn3Cc2ccccc2)CC1,7.16
ZINC000013491755,CC(C)CN1CCC(CNC(=O)c2cc(Cl)cc3c2ncn3C)CC1,8.66
ZINC000013491756,CCCCN1CCC(CNC(=O)c2cc(Br)cc3[nH]cnc23)CC1,9.19
ZINC000013491757,CCCCN1CCC(CNC(=O)c2cc(Cl)c([N+](=O)[O-])c3[nH]cnc23)CC1,7.35
ZINC000013491758,CCCCN1CCC(CNC(=O)c2cc(Br)c([N+](=O)[O-])c3[nH]cnc23)CC1,7.32
ZINC000013491759,CCCCN1CCC(CNC(=O)c2cc(Cl)c(N)c3[nH]cnc23)CC1,7.65
ZINC000013491760,CCCCN1CCC(CNC(=O)c2cc(Br)c(N)c3[nH]cnc23)CC1,7.56
ZINC000013491761,CCCCN1CCC(CNC(=O)c2ccc(N)c3[nH]cnc23)CC1,6.94
ZINC000013491763,CCCCN1CCC(COC(=O)c2cccc3[nH]cnc23)CC1,7.61
ZINC000013491764,CS(=O)(=O)NCCN1CCC(COC(=O)c2cccc3[nH]cnc23)CC1,7.58
ZINC000013491765,CCCCN1CCC(COC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,8.54
ZINC000013491766,CS(=O)(=O)NCCN1CCC(COC(=O)c2cc(Cl)cc3[nH]cnc23)CC1,8.64
ZINC000013492884,CN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,7.1
ZINC000013492885,CCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,7.88
ZINC000013492886,CCCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,8.0
ZINC000013492887,CCCCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,7.9
ZINC000013492892,CCN1CCC(COc2nc3ccccc3c3c2CCCCN3)CC1,7.97
ZINC000013492893,CCCN1CCC(COc2nc3ccccc3c3c2CCCCN3)CC1,7.9
ZINC000013492894,CCCCN1CCC(COc2nc3ccccc3c3c2CCCCN3)CC1,7.79
ZINC000013493298,COc1cc(N)c(Cl)cc1C(=O)NC1C[C@@H]2CC[C@H](C1)N2C,7.32
ZINC000013493299,COc1cc(N)c(Cl)cc1C(=O)NCCN(C)Cc1ccccc1,6.06
ZINC000013527318,C[C@@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3,5.74
ZINC000013589966,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN2CCC[C@@H]1C2,7.01
ZINC000013681090,COc1cc(N)c(Cl)cc1C(=O)OC[C@@H]1CCN2CCC[C@@H]12,9.74
ZINC000013681099,CCc1nc(C(=O)NC[C@@H]2CCN3CCC[C@@H]23)c2ccccn12,6.56
ZINC000013681102,O=C(NC[C@@H]1CCN2CCC[C@@H]12)c1cccn2ccnc12,6.75
ZINC000013681105,Cc1cnc2c(C(=O)NC[C@@H]3CCN4CCC[C@@H]34)cc(Cl)cn12,7.09
ZINC000013681108,O=C(OC[C@@H]1CCN2CCC[C@@H]12)c1cc(Cl)cn2ccnc12,6.75
ZINC000013681117,COc1ccc2[nH]cc(C(=O)OC[C@@H]3CCN4CCC[C@@H]34)c2c1,7.15
ZINC000013681120,O=C(OC[C@@H]1CCN2CCC[C@@H]12)c1c[nH]c2ccc(F)cc12,9.15
ZINC000013681122,O=C(OC[C@@H]1CCN2CCC[C@@H]12)c1n[nH]c2ccccc12,9.1
ZINC000013681124,Cn1nc(C(=O)OC[C@@H]2CCN3CCC[C@@H]23)c2ccccc21,9.4
ZINC000013732245,CCCCN1CCC(CNC(=O)c2cc(Cl)c(N)cc2OC)CC1,8.0
ZINC000013732248,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)cc2OC)CC1,9.0
ZINC000013732251,CCCCN1CCC(COC(=O)c2cccc3c2OCO3)CC1,7.2
ZINC000013732254,CCCCN1CCC(COC(=O)c2cccc3c2OCCO3)CC1,8.2
ZINC000013732257,CCCCN1CCC(COC(=O)c2cccc3c2OCCCO3)CC1,7.3
ZINC000013742134,CN1CCN(c2nc3ccccc3c3c2oc2ccccc23)CC1,5.16
ZINC000013742145,CN1CCN(c2nc3ccccc3c3c2CCc2ccccc2-3)CC1,5.18
ZINC000013744373,CCCCN1CCC(COC(=O)c2c[nH]c3ccccc23)CC1,9.3
ZINC000013744375,CCCCN1CCC(CNC(=O)c2c[nH]c3ccccc23)CC1,6.7
ZINC000013744377,CCCCN1CCC(COC(=O)c2c(OC)[nH]c3ccccc23)CC1,10.0
ZINC000013744379,CCCCN1CCC(CNC(=O)c2c(OC)[nH]c3ccccc23)CC1,7.1
ZINC000013744381,CCCCN1CCC(COC(=O)c2c3n(c4ccccc24)CCCCO3)CC1,9.8
ZINC000013744383,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCO3)CC1,7.8
ZINC000013744385,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCCO3)CC1,8.1
ZINC000013761059,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC(C)CC1,8.52
ZINC000013761060,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC[C@@H](C)C1,9.03
ZINC000013761061,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC[C@H](C)C1,9.03
ZINC000013761062,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCC[C@@H]1C,8.22
ZINC000013761063,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCC[C@H]1C,8.22
ZINC000013761064,COc1cc(N)c(Cl)cc1C(=O)OCCN1[C@@H](C)CCC[C@@H]1C,7.4
