id,smiles,pKi
ZINC000000004285,Clc1cccc(N2CCNCC2)c1,5.06
ZINC000000005455,CN(C)CCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12,6.1
ZINC000000008954,NCCc1cccc2c1ccn2S(=O)(=O)c1ccccc1,5.92
ZINC000000014360,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,6.3
ZINC000000016311,CN1CCN(Cc2ccc3[nH]cc(CCN)c3c2)S1(=O)=O,6.2
ZINC000000026677,CN(C)CCc1cccc2c1ccn2S(=O)(=O)c1ccccc1,5.47
ZINC000000157416,Oc1ccccc1N1CCNCC1,6.67
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,5.65
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,5.65
ZINC000000590474,CN(C)CCc1cccc2c1cc(C(=O)c1ccccc1)n2S(=O)(=O)c1ccccc1,5.8
ZINC000000605248,CN(C)CCc1c[nH]c2ccc(CCN3CCN(C)S3(=O)=O)cc12,6.7
ZINC000000605252,CC(=O)Nc1ccc(CN2CCN(Cc3ccc4[nH]cc(CCN(C)C)c4c3)S2(=O)=O)cc1,6.7
ZINC000001640506,O=C(CCCN1CCc2[nH]c3ccccc3c2C1)c1ccc(F)cc1,6.29
ZINC000003870312,CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,6.0
ZINC000003870313,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1,6.0
ZINC000005162056,FC(F)(F)c1ccc2c(c1)N1CCNC[C@@H]1CC2,7.17
ZINC000005162058,FC(F)(F)c1ccc2c(c1)N1CCNC[C@H]1CC2,7.17
ZINC000012428108,Cn1c2c(c3ccccc31)CNCC2,5.28
ZINC000013476809,Cn1c2c(c3ccccc31)CN(CCCC(=O)c1ccc(F)cc1)CC2,6.94
ZINC000013476811,Cn1c2c(c3ccccc31)CN(CCCCc1ccc(F)cc1)CC2,7.02
ZINC000013476812,Cn1c2c(c3ccccc31)CN(CCCCc1ccccc1)CC2,6.89
ZINC000013476813,COc1ccc(CCCCN2CCc3c(c4ccccc4n3C)C2)cc1,7.05
ZINC000013476815,Cn1c2c(c3ccccc31)CN(CCCc1ccccc1)CC2,6.6
ZINC000013476818,Cn1c2c(c3ccccc31)CN(CCCCCCc1ccccc1)CC2,6.36
ZINC000013476819,Cn1c2c(c3ccccc31)CN(CCC[C@@H](O)c1ccc(F)cc1)CC2,6.65
ZINC000013476821,Cn1c2c(c3ccccc31)CN(CCC[C@H](O)c1ccc(F)cc1)CC2,6.65
ZINC000013476825,Fc1ccc(OCCCN2CCc3[nH]c4ccccc4c3C2)cc1,7.12
ZINC000013476829,c1ccc(OCCCN2CCc3[nH]c4ccccc4c3C2)cc1,6.22
ZINC000013476835,c1ccc(Cn2c3c(c4ccccc42)CN(CCCOc2ccccc2)CC3)cc1,6.06
ZINC000013476836,Cn1c2c(c3ccccc31)CN(CCCOc1cccc3ccccc13)CC2,6.19
ZINC000013476838,Cn1c2c(c3ccccc31)CN(CCCOc1ccc3ccccc3c1)CC2,6.18
ZINC000013488370,NC1=Nc2cc(Cl)ccc2CN1,6.46
ZINC000013491358,C[C@H]1C[C@@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,7.8
ZINC000013491359,C[C@@H]1C[C@@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,7.89
ZINC000013491360,C[C@H]1C[C@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,7.57
ZINC000013526495,Cn1c2c(c3ccccc31)CN(CCCOCc1ccccc1)CC2,6.53
ZINC000013526513,O=C(CCCN1CCc2c([nH]c3ccccc23)C1)c1ccccc1,6.26
ZINC000013526517,c1ccc(OCCCN2CCc3c([nH]c4ccccc34)C2)cc1,6.47
ZINC000013531276,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]c(Br)c(c34)C[C@H]2N(C)C1,8.7
ZINC000013553351,CN(C)CCc1cn(S(=O)(=O)c2ccccc2)c2ccccc12,5.4
ZINC000013738509,CN(C)CCc1c[nH]c2ccc(N3CCN(C)S3(=O)=O)cc12,6.2
ZINC000013738510,CN(C)CCc1c[nH]c2ccc(N3CCN(Cc4ccccc4)S3(=O)=O)cc12,7.1
ZINC000013738511,CN(C)CCc1c[nH]c2ccc(CN3CCNS3(=O)=O)cc12,6.1
ZINC000013738512,CC(C)N1CCN(Cc2ccc3[nH]cc(CCN(C)C)c3c2)S1(=O)=O,6.3
ZINC000013738513,CNCCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12,6.1
ZINC000013738514,CN(C)CCc1c[nH]c2ccc(CN3CCCN(C)S3(=O)=O)cc12,6.9
ZINC000013738515,CN(C)CCc1c[nH]c2ccc(CN3CC(C)(C)NS3(=O)=O)cc12,6.6
ZINC000013738516,CN(C)CCc1c[nH]c2ccc(CN3C(C)(C)CNS3(=O)=O)cc12,6.0
ZINC000013738517,CN(C)CCc1c[nH]c2ccc(CCN3CCNS3(=O)=O)cc12,6.9
ZINC000013738518,CCN1CCN(CCc2ccc3[nH]cc(CCN(C)C)c3c2)S1(=O)=O,6.9
ZINC000013738519,CN1CCN(Cc2ccc3scc(CCN)c3c2)S1(=O)=O,5.7
ZINC000013755508,CCCN(CCC)[C@H]1C[C@@H]1c1ccccc1O,8.31
ZINC000013755510,CCCN(CCC)[C@H]1C[C@@H]1c1cccc(O)c1,8.59
ZINC000013755512,CCCN(CCC)[C@H]1C[C@@H]1c1ccccc1OC,7.77
ZINC000013864326,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.47
ZINC000013864333,O=C(CCCc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.26
ZINC000013864761,CN(C)CCc1cn(C(=O)c2ccccc2)c2ccc(O)cc12,5.35
ZINC000014210869,CN(C)CCN(Cc1ccc(-c2ccc(CNCCc3ccccc3)cc2)cc1)C(=O)CCC1CCCC1,8.2
ZINC000014953383,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]c(I)c(c34)C[C@H]2N(C)C1,8.0
ZINC000019362650,CSc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2,9.0
ZINC000019362651,CSc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,9.0
ZINC000027409407,CCCN(CCC)C[C@H]1C[C@@H]1c1cccc(O)c1,6.73
ZINC000027410213,CCCN(CCC)C[C@H]1C[C@@H]1c1ccccc1O,6.12
ZINC000027410217,CCCN(CCC)C[C@H]1C[C@@H]1c1cccc(OC)c1,6.51
ZINC000027411686,CCN(CC)C[C@H]1C[C@@H]1c1ccccc1OC,6.37
ZINC000027417396,CCCN(CCC)C[C@@H]1C[C@@H]1c1cccc(O)c1,7.24
ZINC000027418161,CCCN(CCC)C[C@@H]1C[C@@H]1c1ccccc1O,6.42
ZINC000027418184,CCCN(CCC)C[C@@H]1C[C@@H]1c1cccc(OC)c1,6.41
ZINC000027418295,CCN(CC)C[C@H]1C[C@@H]1c1ccccc1O,6.3
ZINC000027421823,CCCN(CCC)C[C@@H]1C[C@@H]1c1ccccc1OC,6.0
ZINC000027421828,CCCN(CCC)[C@@H]1C[C@@H]1c1cccc(OC)c1,6.13
ZINC000027422188,CCCN(CCC)C[C@H]1C[C@@H]1c1ccccc1OC,6.62
ZINC000027431636,C[C@H]1C[C@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,7.57
ZINC000027431914,C[C@H]1C[C@@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,7.8
