id,smiles,pKi
ZINC000027992410,Nc1nc(-c2ccc(CCCCN3CCN(c4ccccc4)CC3)cc2)cs1,8.42
ZINC000022926656,OC1(c2ccc3c(c2)OCO3)CCC(N2CCN(Cc3ccc(F)cc3)CC2)CC1,7.57
ZINC000013820867,O=C1CC2(CCCC2)CCN1OCCCN1CCN(c2nsc3ccccc23)CC1,7.52
ZINC000000641741,COc1ccccc1N1CCN(CCCN2C(=O)[C@H]3CCCN3C2=O)CC1,8.36
ZINC000000641742,COc1ccccc1N1CCN(CCCN2C(=O)[C@@H]3CCCN3C2=O)CC1,8.36
ZINC000026154059,O=C1Cc2c(OCCN3Cc4ccccc4C3)ccc(F)c2N1,7.89
ZINC000013762482,Fc1ccc(CN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1,5.27
ZINC000013741744,CCCN(CCCc1ccccc1OC)[C@H]1CCc2ccc3[nH]ccc3c2C1,8.54
ZINC000013741743,CCCN(CCCc1ccccc1OC)[C@@H]1CCc2ccc3[nH]ccc3c2C1,8.54
ZINC000012356360,O=C1c2ccccc2CN1CCOCCN1CCN(c2nsc3ccccc23)CC1,6.66
ZINC000029462188,C[C@](O)(CCN1C(=O)CC2(CCCC2)CC1=O)CN1CCN(c2ncccn2)CC1,5.84
ZINC000029462185,C[C@@](O)(CCN1C(=O)CC2(CCCC2)CC1=O)CN1CCN(c2ncccn2)CC1,5.84
ZINC000045354767,C[C@@H]1Cc2ccc3c(c2O1)-c1cc(O)cc2c1[C@@H](C3)N(C)CC2,7.92
ZINC000045354771,C[C@H]1Cc2ccc3c(c2O1)-c1cc(O)cc2c1[C@@H](C3)N(C)CC2,7.92
ZINC000073169517,CCN(CCCCN1CC[C@@H]2CCCC[C@@H]2C1)S(=O)(=O)c1cnc2ccccc2c1,6.49
ZINC000254100296,CCN(CCCCN1CC[C@@H]2CCCC[C@H]2C1)S(=O)(=O)c1cnc2ccccc2c1,6.49
ZINC000254100292,CCN(CCCCN1CC[C@H]2CCCC[C@@H]2C1)S(=O)(=O)c1cnc2ccccc2c1,6.49
ZINC000254100294,CCN(CCCCN1CC[C@H]2CCCC[C@H]2C1)S(=O)(=O)c1cnc2ccccc2c1,6.49
ZINC000095558501,COc1cccc(Sc2ccccc2N2CCNCC2)c1,6.85
ZINC000040933631,CCC1=C[C@@H]2C(=O)N(N)C(SCCCN3CCN(c4ncccn4)CC3)=N[C@H]2S1,5.92
ZINC000040933628,CCC1=C[C@H]2C(=O)N(N)C(SCCCN3CCN(c4ncccn4)CC3)=N[C@H]2S1,5.92
ZINC000040933626,CCC1=C[C@@H]2C(=O)N(N)C(SCCCN3CCN(c4ncccn4)CC3)=N[C@@H]2S1,5.92
ZINC000040933624,CCC1=C[C@H]2C(=O)N(N)C(SCCCN3CCN(c4ncccn4)CC3)=N[C@@H]2S1,5.92
ZINC000027652284,O=C1c2ccccc2OC=CN1CCCCN1CCN(c2ncccn2)CC1,7.74
ZINC000013861806,Oc1ccccc1N1CCN(CC[C@H](O)c2csc3ccccc23)CC1,7.74
ZINC000001489635,Oc1ccccc1N1CCN(CC[C@@H](O)c2csc3ccccc23)CC1,7.74
ZINC000013861502,Cc1ccccc1N1CCN(CCCCN2CC(=O)N3CCCC[C@H]3C2=O)CC1,7.57
ZINC000013861501,Cc1ccccc1N1CCN(CCCCN2CC(=O)N3CCCC[C@@H]3C2=O)CC1,7.57
ZINC000013802424,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCc2ccccc2C1,7.3
ZINC000013760035,O=C1[C@H]2CCCN2C(=O)N1CN1CCN(c2cccc(C(F)(F)F)c2)CC1,6.92
