id,smiles,pKi
ZINC000001481844,C[C@@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1,5.49
ZINC000001504346,c1ccc(-n2cc(-c3ccnc4ccccc34)cn2)cc1,5.8
ZINC000001530579,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,7.82
ZINC000001530580,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,7.82
ZINC000001530695,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,7.09
ZINC000001530697,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,7.09
ZINC000001530725,Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1,5.51
ZINC000001530726,Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)Cl)cc1,5.51
ZINC000001530751,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,6.3
ZINC000001530752,CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,6.3
ZINC000001530759,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,7.24
ZINC000001530760,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,7.24
ZINC000001530830,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,7.13
ZINC000001542901,Cc1cc2c(OC[C@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,6.01
ZINC000001545565,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,8.7
ZINC000001550393,CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1,7.28
ZINC000001586284,COc1ccc(OC)c(C[C@H](C)N)c1,6.83
ZINC000001587881,COc1ccccc1C[C@H](C)N,5.54
ZINC000001604329,COc1cccc(C[C@@H](C)N)c1,5.92
ZINC000001668943,COc1cc(C[C@H](C)N)cc(OC)c1OC,5.6
ZINC000001692965,COc1cccc(C[C@@H](C)N)c1OC,5.54
ZINC000001692966,COc1cc(C[C@@H](C)N)ccc1O,5.45
ZINC000001728063,COc1ccc(C[C@H](C)N)cc1OC,5.45
ZINC000001841010,COc1ccc(OC)c(C[C@@H](C)N)c1,6.83
ZINC000001850907,COc1cc(C[C@@H](C)N)cc(OC)c1OC,5.6
ZINC000001872016,COc1cc(OC)c(SC)cc1C[C@H](C)N,5.77
ZINC000001912758,CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,6.7
ZINC000001995685,CNCCc1c[nH]c2ccccc12,5.97
ZINC000002003734,CN(C)CCCc1ccccc1,5.09
ZINC000002009554,COc1ccc2[nH]cc(C[C@H](C)N)c2c1,8.57
ZINC000002009555,COc1ccc2[nH]cc(C[C@@H](C)N)c2c1,8.57
ZINC000002012156,C[C@H](N)Cc1c[nH]c2ccc(O)cc12,8.38
ZINC000002012157,C[C@@H](N)Cc1c[nH]c2ccc(O)cc12,8.38
ZINC000002012331,CCN(CCN(C)C)c1ccccc1,6.27
ZINC000002015683,COc1cc(OC)c(C[C@H](C)N)c(OC)c1,6.28
ZINC000002015684,COc1cc(OC)c(C[C@@H](C)N)c(OC)c1,6.28
ZINC000002015685,COc1cc(OC)c(OC)cc1C[C@H](C)N,6.81
ZINC000002015686,COc1cc(OC)c(OC)cc1C[C@@H](C)N,6.81
ZINC000002015688,COc1ccc(C[C@H](C)N)c(OC)c1OC,5.07
ZINC000002015689,COc1ccc(C[C@@H](C)N)c(OC)c1OC,5.07
ZINC000002019529,C[C@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1,5.49
ZINC000002032320,Cc1cc2c(OC[C@@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,6.01
ZINC000002035314,COc1ccc2[nH]cc([C@H](C)CN)c2c1,8.08
ZINC000002041024,COc1ccc(C[C@@H](C)N)cc1OC,5.45
ZINC000002379519,C[C@@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,8.6
ZINC000002530693,COc1cc(C[C@H](C)N)c(OC)cc1I,8.7
ZINC000002560537,CN(C)CCNc1ccccc1,6.02
ZINC000003051297,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,6.0
ZINC000003644762,COc1cc(C[C@H](C)N)ccc1O,5.45
ZINC000003683831,CN1CCC[C@@H](CN2c3ccccc3Sc3ccccc32)C1,6.49
ZINC000003683833,CN1CCC[C@H](CN2c3ccccc3Sc3ccccc32)C1,6.49
ZINC000003775140,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,7.15
ZINC000003779067,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,5.66
ZINC000003794601,CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,5.93
ZINC000003800706,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,5.93
ZINC000003812549,Fc1ccc(N2CCN(CC[C@H]3OCCc4ccccc43)CC2)cc1,7.16
ZINC000003812888,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.98
ZINC000003812892,CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.52
ZINC000003830564,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,7.15
ZINC000003831511,CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.52
ZINC000003871832,COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.98
ZINC000003872738,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,5.87
ZINC000003873371,Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.72
ZINC000003916060,O=C1C[C@@H](CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]c3ccccc3c21,6.35
ZINC000003916062,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2[nH]c3ccccc3c21,7.22
ZINC000003941211,O=C1c2ccsc2CC[C@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1,6.23
ZINC000003942600,Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(O[C@H](C)C(=O)O)c1,5.94
ZINC000003961115,CC(C)c1cc(-c2ccc(F)c3ccccc23)nc(N)n1,9.15
ZINC000003994229,O=C1C[C@@H](CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2occc21,6.61
ZINC000003994230,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2occc21,6.71
ZINC000003995616,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,8.38
ZINC000003995822,C[C@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,8.6
ZINC000004175569,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,5.78
ZINC000004215367,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,7.4
ZINC000004314947,O=C(c1ccc(-c2ccccc2)cc1)N1CCC(c2nc3ccccc3[nH]2)CC1,8.62
ZINC000004424503,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3cccs3)=NN12,5.3
ZINC000004424507,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3cccs3)=NN12,5.3
ZINC000004632523,Fc1ccc(N2CCN(CC[C@@H]3OCCc4ccccc43)CC2)cc1,7.16
ZINC000004721990,N[C@@H]1CCc2ccccc2C1,5.61
ZINC000004801017,COc1cc(/C=C/C(=O)NCCn2c(C)cc3ccccc32)cc(OC)c1OC,5.59
ZINC000004812066,CN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccc(F)cc3)=NN12,8.0
ZINC000004812069,CN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccc(F)cc3)=NN12,8.0
ZINC000004863054,CN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccccc3Cl)=NN12,6.12
ZINC000004863055,CN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccccc3Cl)=NN12,6.12
ZINC000004863074,CN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccc(Cl)cc3)=NN12,6.55
ZINC000004863075,CN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccc(Cl)cc3)=NN12,6.55
ZINC000004863234,CN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccc(Br)cc3)=NN12,6.37
ZINC000004863235,CN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccc(Br)cc3)=NN12,6.37
ZINC000004898821,CCCN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccc(F)cc3)=NN12,8.74
