id,smiles,pKi
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,7.25
ZINC000000000509,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,6.58
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,7.25
ZINC000000001137,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,8.25
ZINC000000009073,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,6.73
ZINC000000009096,C[C@H](N)Cn1ncc2ccc(O)cc21,5.25
ZINC000000009253,O[C@H](c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2)CC1,5.87
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,5.52
ZINC000000012687,COc1ccccc1N1CCNCC1,6.61
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,7.17
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,7.17
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,6.99
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,6.99
ZINC000000595350,O=C1[C@H]2CCCN2C(=O)CN1CN1CCN(c2cccc3ccccc23)CC1,7.0
ZINC000000898438,COc1cc2c(cc1O)-c1c(O)c(OC)cc3c1[C@H](C2)N(C)CC3,7.1
ZINC000000968310,CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,6.58
ZINC000001216211,O=S(=O)(c1ccccc1)N1C=Cc2ccccc2[C@H]1c1c[nH]c2ccccc12,5.83
ZINC000001216213,O=S(=O)(c1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12,5.83
ZINC000001489492,O=C1c2ccccc2CCCN1CCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1,8.65
ZINC000001530695,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,7.15
ZINC000001530697,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,7.15
ZINC000001542113,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,5.52
ZINC000001545565,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,7.0
ZINC000001546255,COc1ccccc1N1CCC(CNC[C@@H]2COc3ccc(Cl)cc3O2)CC1,7.57
ZINC000001851675,CN(C)CCc1cn(-c2ccccc2)c2ccccc12,5.92
ZINC000001896324,O=C1Nc2cccc3c2[C@]1(CCCCN1CCN(c2ccccn2)CC1)CCC3,8.7
ZINC000001896330,COc1ccccc1N1CCN(CCCC[C@]23CCCc4cccc(c42)NC3=O)CC1,8.3
ZINC000002007270,O=C1Nc2cccc3c2[C@]1(CCCCN1CCc2sccc2C1)CCC3,8.19
ZINC000002008410,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,7.2
ZINC000002009671,COc1ccccc1N1CCN(CCCCN2C(=O)CCC2=O)CC1,7.05
ZINC000002386800,CN1CCc2cccc3c2[C@H]1Cc1ccccc1-3,7.06
ZINC000002654726,O[C@H](CNC[C@H]1COc2ccccc2O1)COCc1ccccc1Cl,6.58
ZINC000002654727,O[C@@H](CNC[C@H]1COc2ccccc2O1)COCc1ccccc1Cl,6.58
ZINC000002654728,O[C@H](CNC[C@@H]1COc2ccccc2O1)COCc1ccccc1Cl,6.58
ZINC000002654729,O[C@@H](CNC[C@@H]1COc2ccccc2O1)COCc1ccccc1Cl,6.58
ZINC000003825883,CNC[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,7.73
ZINC000003827662,OC[C@H](NC1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccc(F)cc1,6.27
ZINC000003828188,COc1ccccc1N1CCN(CCCC[C@@]23CCCc4cccc(c42)NC3=O)CC1,8.3
ZINC000003828998,COc1ccccc1N1CCC(CNC[C@H]2COc3ccc(Cl)cc3O2)CC1,7.57
ZINC000003870312,CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,8.06
ZINC000003870313,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1,6.82
ZINC000003874895,CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1,5.5
