id,smiles,pKi
ZINC000000000509,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,5.54
ZINC000000000558,NC[C@@H](O)c1ccc(O)cc1,7.62
ZINC000000004620,CCn1c(=O)n(C(=O)NC2C[C@@H]3CC[C@H](C2)N3C)c2ccccc21,9.0
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,7.47
ZINC000000014360,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,8.03
ZINC000000016869,O=C(N[C@H]1CN2CCC1CC2)c1c[nH]c2ccsc2c1=O,8.27
ZINC000000021067,Fc1ccc(-c2cncc(CNC[C@H]3CCc4ccccc4O3)c2)cc1,8.22
ZINC000000213594,COc1ccc(NC(=O)c2cnc3ccccc3n2)cc1,5.0
ZINC000000339551,O=C(Nc1ccccc1)c1cnc2ccccc2n1,6.8
ZINC000000388198,NC[C@H](O)c1ccc(O)cc1,7.62
ZINC000000404157,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCNC[C@H]1OC,5.8
ZINC000000404160,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC,5.8
ZINC000000428041,O=C(NC1CCCC1)c1cnc2ccccc2n1,6.5
ZINC000000968310,CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,5.54
ZINC000001635352,CN1CCN(c2nc3cc(F)ccc3n3cccc23)CC1,9.1
ZINC000002243530,Clc1ccc([C@@H]2CCNC2)cc1,6.1
ZINC000002529101,Clc1ccc([C@H]2CCNC2)cc1,6.1
ZINC000003775140,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,5.82
ZINC000003811831,COc1cc(NC(=O)C2CC2)c(Cl)cc1C(=O)N[C@H]1CCN(Cc2ccccc2)C1,5.4
ZINC000003816767,O=C(N[C@H]1CN2CCC1CC2)c1cc2ccccc2s1,7.3
ZINC000003826051,COc1c(I)cc(Cl)cc1C(=O)N[C@@H]1CN2CCC1CC2,9.82
ZINC000003830564,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,5.82
ZINC000003894671,Cc1ccc(NC(=O)c2cnc3ccccc3n2)cc1,5.2
ZINC000004215367,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,5.82
ZINC000004992138,Cc1ccc(NC(=O)c2cc(-c3ccccc3)c(N3CCOCC3)s2)c(C)c1,6.0
ZINC000005019451,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCNC[C@@H]1OC,5.8
ZINC000005019457,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@H]1OC,5.8
ZINC000005176441,O=C(NCc1ccccc1)c1cnc2ccccc2n1,5.7
ZINC000005424715,O=C(NC1CCCCC1)c1cnc2ccccc2n1,6.0
ZINC000005424732,O=C(Nc1cccc(Cl)c1)c1cnc2ccccc2n1,5.8
ZINC000005425050,CC(=O)c1cccc(NC(=O)c2cnc3ccccc3n2)c1,6.1
ZINC000007211182,Cc1c(Cl)cccc1NC(=O)c1cnc2ccccc2n1,7.6
ZINC000008577228,COc1ccccc1-c1csc(Cc2nc[nH]c2C)n1,9.38
ZINC000012978791,O=C(c1cnc2ccccc2n1)N1CCCC1,6.4
ZINC000012982303,CCCNC(=O)c1cnc2ccccc2n1,6.7
ZINC000013537284,Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O,9.3
ZINC000013766140,CN1CCN(c2nc3cccc(F)c3n3cccc23)CC1,9.36
ZINC000013801474,Cc1cccc2nc(N3CCN(C)CC3)c3cccn3c12,9.1
ZINC000013801483,CN1CCN(c2nc3cc(O)ccc3n3cccc23)CC1,9.15
ZINC000013801491,CN1CCN(c2nc3ncccc3n3cccc23)CC1,8.62
ZINC000013801498,Cc1cccc2nc(N3CCN(Cc4ccccc4)CC3)c3cccn3c12,8.06
ZINC000013801504,Fc1ccc2c(c1)nc(N1CCN(Cc3ccccc3)CC1)c1cccn12,7.89
ZINC000013801511,c1ccc(CN2CCN(c3nc4ncccc4n4cccc34)CC2)cc1,8.66
ZINC000021887479,O=C(Nc1cccc([N+](=O)[O-])c1)c1cnc2ccccc2n1,5.0
ZINC000022117939,O=C(O)CN1CCN(c2ccc3ccccc3n2)CC1,7.95
ZINC000026247891,C=CCn1c(N2CCNCC2)nc2ccccc21,6.62
ZINC000026636813,COc1c(C(=O)N[C@@H]2CN3CCC2CC3)cc(Cl)c(N)c1I,10.3
ZINC000026649415,COc1cc(N)c(I)cc1C(=O)N[C@@H]1CN2CCC1CC2,8.97
ZINC000026649420,COc1cc(N)c(I)cc1C(=O)N[C@H]1CN2CCC1CC2,8.97
ZINC000028222369,CN(C)CCc1coc2ccc(C(N)=O)cc12,5.4
ZINC000028223756,NCC[C@@H]1COc2ccc(C(N)=O)cc21,5.37
ZINC000028223761,NCC[C@H]1COc2ccc(C(N)=O)cc21,5.37
ZINC000028224213,NCCc1coc2ccc(C(N)=O)cc12,5.13
ZINC000028475410,O=C1[C@@H]2CCCN2C(=O)CN1CN1CCN(c2cccc3ccccc23)CC1,8.05
ZINC000028521323,O=C(N[C@@H]1CN2CCC1CC2)c1cc2ccccc2s1,7.3
ZINC000028639604,O=C(NCCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.24
ZINC000028639868,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccccc3F)c(=O)[nH]c2c1,5.68
ZINC000028639882,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(-c3ccc(F)cc3)c(=O)[nH]c2c1,5.72
ZINC000028640454,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3cccc(F)c3)c(=O)[nH]c2c1,5.62
ZINC000028640456,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccc(F)cc3)c(=O)[nH]c2c1,5.72
ZINC000028640465,COc1ccc(-n2c(=O)[nH]c3cc(C(=O)NCCN4CCCCC4)ccc3c2=O)cc1,5.8
ZINC000028640937,COc1ccccc1Cn1c(=O)[nH]c2cc(C(=O)NCCN3CCCCC3)ccc2c1=O,5.85
ZINC000028641119,COc1cccc(Cn2c(=O)[nH]c3cc(C(=O)NCCN4CCCCC4)ccc3c2=O)c1,5.57
ZINC000028641121,COc1ccc(Cn2c(=O)[nH]c3cc(C(=O)NCCN4CCCCC4)ccc3c2=O)cc1,6.1
ZINC000028641305,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(C3CCCCC3)c(=O)[nH]c2c1,5.7
ZINC000028641307,CCCn1c(=O)[nH]c2cc(C(=O)NCCN3CCCCC3)ccc2c1=O,5.66
ZINC000028641483,Cn1c(=O)[nH]c2cc(C(=O)NCCN3CCCCC3)ccc2c1=O,5.66
ZINC000028641499,CC[C@@H]1CCCCN1CCCNC(=O)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.32
ZINC000028641501,CC[C@H]1CCCCN1CCCNC(=O)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.32
ZINC000028641509,C[C@@H]1CCCCN1CCCNC(=O)c1ccc2c(=O)n(C3CCCCC3)c(=O)[nH]c2c1,5.23
ZINC000028641511,C[C@H]1CCCCN1CCCNC(=O)c1ccc2c(=O)n(C3CCCCC3)c(=O)[nH]c2c1,5.23
ZINC000028641680,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccccc3Cl)c(=O)[nH]c2c1,5.68
ZINC000028641682,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.48
ZINC000028642098,O=C(NCCN1CCCC1)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.12
ZINC000028642395,O=C(NCCCN1CCOCC1)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.89
ZINC000028642689,C[C@@H]1CCCCN1CCNC(=O)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.55
ZINC000028642690,C[C@H]1CCCCN1CCNC(=O)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,5.55
ZINC000029043114,O=C(N[C@@H]1C[C@H]2CCN(C2)C1)c1cc2ccoc2cn1,6.46
ZINC000029130869,N=C1NCc2c(ccc(Cl)c2Cl)N1,6.76
ZINC000029131439,N=C1NCc2cc(Cl)ccc2N1,7.47
ZINC000029210629,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,5.82
ZINC000029513882,CCCCNC(=O)c1cnc2ccccc2n1,7.3
ZINC000034004394,Clc1ccc(Sc2ccccc2N2CCNCC2)cc1,7.44
ZINC000034019802,COc1ccc(Sc2ccc(C)cc2N2CCNCC2)cc1,6.72
ZINC000034051848,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,9.74
ZINC000034051988,Cc1ccc(Sc2ccc(F)cc2)c(N2CCNCC2)c1,6.36
ZINC000034268898,Cc1cnc2nc(N3CCN4CCC3CC4)oc2c1,5.47
ZINC000034480422,Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCCC2,7.07
ZINC000034783307,Cc1ccc2oc(N3CCN4CCC3CC4)nc2n1,8.3
ZINC000035837968,CCc1ccc2oc(N3CCN4CCC3CC4)nc2n1,5.48
ZINC000035907396,O=C1CSC(=O)N1CCCCCCCCNC[C@H]1CCc2ccccc2O1,7.92
ZINC000035907397,O=C1CSC(=O)N1CCCCCCCCNC[C@@H]1CCc2ccccc2O1,7.92
ZINC000036175368,COC(=O)c1c(-c2ccc(F)cc2)c(-c2ccncc2)c(N2CCNCC2)n1C,6.56
ZINC000036411872,Nn1c(SCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2sc3c(c2c1=O)CCCC3,7.38
