id,smiles,pKi
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,7.4
ZINC000000000565,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,6.28
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,7.4
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,6.98
ZINC000000001331,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,6.98
ZINC000000004893,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,9.6
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,8.13
ZINC000000020240,CC(C)NC[C@@H](O)COc1cccc2ccccc12,5.85
ZINC000000020250,C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,5.95
ZINC000000036611,Cc1ccc2c(c1)c1c(n2CCc2ccncc2)CCN(C)C1,6.43
ZINC000000056647,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,5.95
ZINC000000155269,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,6.28
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,6.59
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,6.59
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,6.04
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,6.04
ZINC000000579013,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,6.18
ZINC000000596881,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.3
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.3
ZINC000000643055,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.3
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.3
ZINC000001035440,O=C1CS[C@@]2(C(=O)Nc3ccccc32)N1c1ccccc1,5.24
ZINC000001216211,O=S(=O)(c1ccccc1)N1C=Cc2ccccc2[C@H]1c1c[nH]c2ccccc12,5.51
ZINC000001216213,O=S(=O)(c1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12,5.51
ZINC000001530579,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,6.15
ZINC000001530580,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,6.15
ZINC000001530637,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.11
ZINC000001530638,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.11
ZINC000001530695,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,7.48
ZINC000001530697,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,7.48
ZINC000001530725,Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1,6.19
ZINC000001530726,Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)Cl)cc1,6.19
ZINC000001530759,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,6.06
ZINC000001530760,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,6.06
ZINC000001542113,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,5.52
