id,smiles,pKi
ZINC000001486798,F[C@@H](Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(Cc2ccccc2)CC1,9.05
ZINC000001486819,F[C@@H](Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(OCc2ccccc2)CC1,7.52
ZINC000001487796,COc1ccc(NC(=O)c2ccc(-c3ccc(C(N)=O)cc3C)cc2)cc1N1CCN(C)CC1,8.0
ZINC000001489002,CN(Cc1ccccc1)[C@H]1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)C[C@H]1F,8.66
ZINC000001489634,COc1ccccc1N1CCN(CC[C@@H](O)c2csc3ccccc23)CC1,5.58
ZINC000001536693,c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2,8.85
ZINC000001541648,c1ccc2c(c1)CC[C@@H](CNCCCNC1=NCCCN1)O2,8.5
ZINC000001542113,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,5.4
ZINC000001545455,CCc1ccc2c(c1)O[C@@H](CNCCCNC1=NCCCN1)CC2,9.5
ZINC000001545456,Fc1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2,8.1
ZINC000001545457,COc1cccc2c1O[C@@H](CNCCCNC1=NCCCN1)CC2,9.1
ZINC000001545565,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,7.0
ZINC000002012156,C[C@H](N)Cc1c[nH]c2ccc(O)cc12,6.82
ZINC000002012157,C[C@@H](N)Cc1c[nH]c2ccc(O)cc12,6.82
ZINC000002019382,CCN(CC)CCc1c[nH]c2ccc(O)cc12,7.11
ZINC000002516018,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,7.46
ZINC000002539813,NCCc1c[nH]c2ccc(C(N)=O)cc12,8.47
ZINC000002568243,COc1ccc2[nH]cc(C3=CCNCC3)c2c1,7.41
ZINC000003779247,COc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,7.62
ZINC000003779258,CNS(=O)(=O)Cc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,8.14
ZINC000003793340,CN(C)CCc1c[nH]c2ccc(Nc3ncccc3[N+](=O)[O-])cc12,8.7
ZINC000003793344,O=[N+]([O-])c1cccnc1Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1,8.89
ZINC000003793347,CN1CCC[C@@H]1Cc1c[nH]c2ccc(Nc3ncccc3[N+](=O)[O-])cc12,8.89
ZINC000003793349,CN1CC[C@@H](c2c[nH]c3ccc(Nc4ncccc4[N+](=O)[O-])cc23)C1,8.7
ZINC000003797946,CS(=O)(=O)Nc1ccc(Cc2noc(-c3ccc4[nH]cc(CCN)c4c3)n2)cc1,9.5
ZINC000003805713,CN1CCC[C@@H]1Cc1c[nH]c2ccc(-n3cnc4cc(C#N)ccc43)cc12,10.38
ZINC000003807663,COc1ccc2[nH]c3c(c2c1)C[C@H](N)CC3,5.92
ZINC000003812551,COc1ccc(N2CCN(CC[C@H]3OCCc4ccccc43)CC2)cc1,8.17
ZINC000003823475,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,8.9
ZINC000003826485,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN3CC[C@@H](CNCc4ccccc4)C3)c2c1,8.96
ZINC000003827602,OC[C@H](NC1CCN(C[C@@H](F)Cc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccc(F)cc1,8.85
ZINC000003870313,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1,6.94
ZINC000003951843,CCc1ccc2c(c1)O[C@H](CNCCCNC1=NCCCN1)CC2,9.5
ZINC000003951844,Fc1ccc2c(c1)CC[C@@H](CNCCCNC1=NCCCN1)O2,8.1
ZINC000003951845,COc1cccc2c1O[C@H](CNCCCNC1=NCCCN1)CC2,9.1
ZINC000003962635,CC(C)CN(C)CC1(O)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,9.19
ZINC000003963295,COc1ccc(NC(=O)c2ccc(-c3ccc(C(=N)N)cc3C)cc2)cc1N1CCN(C)CC1,8.52
ZINC000003964609,C[C@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3,5.72
ZINC000003965842,CN(C)C[C@@H]1C[C@@H]2c3ccccc3Cc3ccc(Cl)cc3N2O1,6.87
ZINC000003976847,NC(=O)c1ccc2c(c1)CCO[C@H]2CCN1CC=C(c2c[nH]c3cc(F)ccc23)CC1,8.1
ZINC000003976853,Cn1cc(C2=CCN(CC[C@@H]3OCCc4cc(C(N)=O)ccc43)CC2)c2ccc(F)cc21,7.19
ZINC000003984030,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,5.39
ZINC000004618051,COc1ccc(N2CCN(CC[C@@H]3OCCc4ccccc43)CC2)cc1,8.17
ZINC000005161581,Cn1cc(CCN)c2c3c(ccc21)OCCC3,5.38
ZINC000005319617,COc1ccccc1N1CCN(CCCCNC(=O)C23CC4CC(CC(C4)C2)C3)CC1,6.34
ZINC000005832849,CCCN(CCC)CCc1c[nH]c2ccc(O)cc12,6.09
ZINC000008750345,CNCCOc1cc(Cl)ccc1Cl,5.42
ZINC000012355953,c1cc2c3c(ccc2[nH]1)CC[C@@H](N1CCCC1)C3,7.11
ZINC000012355955,c1cc2c3c(ccc2[nH]1)CC[C@H](N1CCCC1)C3,7.11
ZINC000012355996,c1cc2c3c(ccc2[nH]1)CC[C@@H](N1CCCCCC1)C3,6.47
ZINC000012355997,c1cc2c3c(ccc2[nH]1)CC[C@H](N1CCCCCC1)C3,6.47
ZINC000012356089,CCCN(CC1CC1)[C@@H]1CCc2ccc3[nH]cc(C=O)c3c2C1,7.62
ZINC000012356091,CCCN(CC1CC1)[C@H]1CCc2ccc3[nH]cc(C=O)c3c2C1,7.62
ZINC000012356220,COc1ccccc1N1CCN(CC[C@H](O)c2csc3ccccc23)CC1,5.58
ZINC000013436817,CN(C)C[C@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,6.18
ZINC000013436820,CN(C)C[C@@H]1C[C@@H]2c3ccccc3Cc3ccccc3N2O1,6.18
ZINC000013437079,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccc(Cl)cc3N2O1,6.87
ZINC000013437082,CN(C)C[C@H]1C[C@H]2c3ccccc3Cc3ccc(Cl)cc3N2O1,6.87
ZINC000013437085,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccc(Cl)cc3N2O1,6.87
ZINC000013437198,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccc(F)cc3N2O1,6.52
