id,smiles,pKi
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,6.97
ZINC000000488389,CCN(CC)CCc1c[nH]c2ccc(OC)cc12,7.8
ZINC000000537887,O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1,6.46
ZINC000000593410,Cc1cn(-c2cccc(Nc3ncnc4c3CCc3ccccc3-4)c2)cn1,8.9
ZINC000000596881,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.2
ZINC000000601250,Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.84
ZINC000000604739,O=c1[nH]c2ccc(CCN3CCN(c4cccc(C(F)(F)F)c4)CC3)cc2s1,7.22
ZINC000000604740,COc1ccccc1N1CCN(CCc2ccc3[nH]c(=O)sc3c2)CC1,6.52
ZINC000000604816,O=C(NCCN1CCC(C(=O)c2ccc(F)cc2)CC1)Nc1ccccc1,6.7
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.56
ZINC000000643055,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.2
ZINC000000896650,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,6.39
ZINC000000896663,N[C@H]1C[C@@H]1c1ccccc1,5.57
ZINC000000896666,N[C@H]1C[C@H]1c1ccccc1,5.57
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.56
ZINC000000968310,CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,8.26
ZINC000001107787,O=C(Nc1cccnc1)Nc1ccc2ccccc2c1,8.21
ZINC000001295150,C1=C(c2ccccc2)CCNC1,5.61
ZINC000001481850,O[C@H](c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.08
ZINC000001482197,N[C@@H]1C[C@H]1c1ccccc1,5.57
ZINC000001483557,O[C@H]1c2ccccc2CCC12CCN(CCc1ccccc1)CC2,6.64
ZINC000001530579,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,7.22
ZINC000001530580,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,7.22
ZINC000001530637,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,7.21
ZINC000001530638,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,7.21
ZINC000001530695,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,7.64
ZINC000001530697,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,7.64
ZINC000001530759,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,6.7
ZINC000001530760,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,6.7
ZINC000001530830,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,6.3
ZINC000001533575,COc1ccccc1N1CCN(CCCCc2ccc3[nH]c(=O)sc3c2)CC1,6.49
ZINC000001541570,CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,6.57
ZINC000001542113,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,5.7
ZINC000001542568,O=C(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,6.21
ZINC000001542570,O=C(c1ccc(F)cc1)C1CCN(CCCCCc2ccccc2)CC1,6.38
ZINC000001545565,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,7.0
ZINC000001546255,COc1ccccc1N1CCC(CNC[C@@H]2COc3ccc(Cl)cc3O2)CC1,7.24
ZINC000001571009,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,6.27
ZINC000001578513,CC(C)(C)NC1=NCCNC(c2ccccc2)=C1,5.98
ZINC000001586284,COc1ccc(OC)c(C[C@H](C)N)c1,5.91
ZINC000001635352,CN1CCN(c2nc3cc(F)ccc3n3cccc23)CC1,6.38
ZINC000001639567,N[C@@H]1C[C@@H]1c1ccccc1,5.57
ZINC000001668943,COc1cc(C[C@H](C)N)cc(OC)c1OC,5.24
ZINC000001841010,COc1ccc(OC)c(C[C@@H](C)N)c1,6.28
ZINC000001843091,O[C@@H](c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.08
ZINC000001846593,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,5.37
ZINC000001850396,CCc1cc(OC)c(C[C@@H](C)N)cc1OC,7.0
ZINC000001850397,CCc1cc(OC)c(C[C@H](C)N)cc1OC,7.0
ZINC000001850907,COc1cc(C[C@@H](C)N)cc(OC)c1OC,5.24
ZINC000001888141,Fc1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,5.08
ZINC000001912758,CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,5.47
ZINC000001996368,COc1ccc2[nH]c(C)c(CCN(C)C)c2c1,5.4
ZINC000001999162,CCN(CC)CCc1c[nH]c2ccccc12,6.98
ZINC000002009554,COc1ccc2[nH]cc(C[C@H](C)N)c2c1,8.51
ZINC000002009555,COc1ccc2[nH]cc(C[C@@H](C)N)c2c1,8.51
ZINC000002012156,C[C@H](N)Cc1c[nH]c2ccc(O)cc12,8.74
ZINC000002012157,C[C@@H](N)Cc1c[nH]c2ccc(O)cc12,8.74
ZINC000002015685,COc1cc(OC)c(OC)cc1C[C@H](C)N,5.57
ZINC000002015686,COc1cc(OC)c(OC)cc1C[C@@H](C)N,5.57
ZINC000002017838,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,7.9
ZINC000002035314,COc1ccc2[nH]cc([C@H](C)CN)c2c1,9.0
ZINC000002036052,CCN(CC)CCc1c[nH]c2cc(F)ccc12,6.68
ZINC000002039001,CNCCc1c[nH]c2ccc(OC)cc12,6.08
ZINC000002379519,C[C@@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,6.97
ZINC000002391678,c1ccc2c(C3CCNCC3)cccc2c1,7.22
ZINC000002530001,Brc1ccc(C2=CCNCC2)cc1,5.6
ZINC000002530693,COc1cc(C[C@H](C)N)c(OC)cc1I,8.74
ZINC000002564752,COc1cc(CCN)c(OC)cc1Br,7.44
ZINC000002567726,COc1ccc2[nH]cc(CCNCc3ccc(Br)cc3)c2c1,7.0
ZINC000002572146,Cc1[nH]c2ccc(O)cc2c1CCN,6.19
ZINC000002577352,Clc1cccc(C2CCNCC2)c1,6.1
ZINC000002577355,Cc1cccc(C2CCNCC2)c1,5.7
ZINC000002577356,Cc1ccccc1C1CCNCC1,5.5
ZINC000002577358,FC(F)(F)c1ccc(C2CCNCC2)cc1,5.08
ZINC000002577359,FC(F)(F)c1cccc(C2CCNCC2)c1,5.9
ZINC000002577360,FC(F)(F)c1ccccc1C1CCNCC1,6.08
ZINC000002577367,COc1cccc(C2CCNCC2)c1,5.21
ZINC000003292410,CN1CCC(N(C)S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,5.98
ZINC000003328480,Cc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1,6.75
ZINC000003625720,COc1cc(C[C@H](C)N)cc(OC)c1Br,6.24
ZINC000003625721,COc1cc(C[C@@H](C)N)cc(OC)c1Br,6.24
ZINC000003631131,C[C@H](N)Cc1ccc(Br)cc1,5.83
ZINC000003631133,C[C@@H](N)Cc1ccc(Br)cc1,5.83
ZINC000003632919,CCCc1ccc(C[C@@H](C)NC)cc1,5.71
